"A_procjust","A_interjust","A_orgjust","A_genatrct","A_intpurs","A_prest","A_orgatrct","A_compete","A_socresp","A_support","A_innovate","B_procjust","B_interjust","B_orgjust","B_genatrct","B_intpurs","B_prest","B_orgatrct","B_compete","B_socresp","B_support","B_innovate","id"
3.67,2.22,2.95,3.2,3.6,3,3.27,3.5,2.5,2.25,3.5,3.67,4.44,4.06,3.8,4.6,4.4,4.27,4.25,3.75,3.5,3.75,80
1.33,2,1.67,2.8,2.2,2.8,2.6,2.75,5,4.75,4.25,3.22,4.44,3.83,3.8,3.8,3.6,3.73,2.75,4,4.75,2.5,81
4,3.22,3.61,2.4,3,3.2,2.87,4,3.25,2.5,3.75,4.33,4.33,4.33,4.2,4.6,4.6,4.47,4.25,5,4.25,3.5,82
2.56,2.89,2.72,3.2,4,3.4,3.53,4.25,2.75,2.5,3.5,3,3.44,3.22,3.6,4,3.2,3.6,3,3.25,3,1.75,83
3.78,3.56,3.67,NA,4.6,3.4,NA,4,3.75,4,4,2.67,4.89,3.78,3.8,3.8,3.2,3.6,3.25,3.25,4,2,84
4.44,4.67,4.56,3.4,4.6,4.8,4.27,4.5,4,4.5,4,NA,NA,NA,3.8,4,3.8,3.87,3.75,3.5,3.25,4,85
2.78,1.89,2.34,2.8,3,3.4,3.07,3.75,3,2.25,3.5,3.67,4.22,3.94,4,4.8,4.6,4.47,4,4,3.25,4.25,86
3.11,3.11,3.11,2.2,3,3.6,2.93,3.75,3,2,3,4.22,4.78,4.5,4.2,4.6,4.8,4.53,3.75,4.25,4.25,3.75,87
2.67,3.44,3.05,3.2,4.2,3.8,3.73,4.25,3.75,4,3.25,4.33,5,4.66,4.2,5,4.6,4.6,5,4.75,4.75,4,88
3.33,2.78,3.05,2.8,4.2,4.6,3.87,5,4,5,3.75,3.22,4.56,3.89,3.4,NA,4,NA,3.75,4,3.25,3.5,89
1.56,1.56,1.56,2.6,1.2,1.6,1.8,2,2,2,2.75,4.11,4.44,4.28,3.4,3.6,4,3.67,4.5,4.25,NA,4,90
3.67,3.44,3.55,3,4.2,3.6,3.6,4.5,4.5,4.25,4,3.78,4.22,4,2.6,3.4,3.6,3.2,3,3.5,4,3,91
3,3.11,3.05,3,4.6,4.6,4.07,4.75,4.5,4.25,4.25,4.11,5,4.56,4.2,5,5,4.73,4,4.5,4,4.25,92
2.44,3.44,2.94,3.2,2.6,2.8,2.87,3.5,2.75,2.25,3.5,2.67,3.89,3.28,3.6,3.8,4.2,3.87,3.5,3.75,3.25,2.5,93
3.67,3.56,3.62,3.2,4.2,4,3.8,3.5,2.75,3.25,2.75,3.11,3.33,3.22,4.2,5,5,4.73,2.75,2.75,2.75,3.75,94
2.67,2.67,2.67,NA,3.4,3.4,NA,NA,2.25,2.5,2.75,3.56,4.56,4.06,4.4,4.6,NA,NA,4.5,4.5,4.25,4.5,95
3.44,2.67,3.05,2.6,3.2,5,3.6,4.5,4.25,4.5,3.5,4,5,4.5,4.2,5,4.8,4.67,4.25,4.25,4,2.75,96
3.11,2.89,3,3.6,4,3.8,3.8,4,3.75,2.75,4,3.67,4.11,3.89,4.2,4.8,4.6,4.53,3.75,3.5,3.75,2.75,97
3.11,2.44,2.78,2.6,2.8,2.4,2.6,2.75,2.25,2,3,3.89,4.67,4.28,3.6,4.4,4.2,4.07,4,4,3.75,2.75,98
2.67,2,2.34,3,3,3.2,3.07,3.25,2.75,2,2.25,3.78,4.11,3.95,3.4,4.2,4,3.87,4.25,4,4.25,3.5,99
3,2.78,2.89,3.6,4.2,2.8,3.53,4.5,3.25,2.25,3.5,3.44,4.44,3.94,4.2,4.4,4.8,4.47,3,4.25,3.5,2.75,100
3.78,2.44,3.11,3.2,1.8,2.6,2.53,2.75,2.75,2.5,2.25,3.78,4.67,4.22,3.8,4.2,4,4,3.5,3.5,3.75,3.25,101
4.33,2.33,3.33,3.6,4,3.8,3.8,4.25,3.25,1.75,5,3.78,4.44,4.11,3.8,4.6,4.4,4.27,4,3.25,3.25,4,102
3.22,2.67,2.95,3.6,3,3.2,3.27,1.75,1.75,2,4,4.33,4.78,4.56,4.4,4.8,4.6,4.6,4.5,4.75,4.5,3.75,103
