"id","condition","AVI.id","procjust","interjust","orgjust","genatrct","intpurs","prest","orgatrct","compete","socresp","support","innovate"
93,"Traditional",0,2.67,3.89,3.28,3.6,3.8,4.2,3.87,3.5,3.75,3.25,2.5
94,"AVI",1,3.67,3.56,3.62,3.2,4.2,4,3.8,3.5,2.75,3.25,2.75
94,"Traditional",0,3.11,3.33,3.22,4.2,5,5,4.73,2.75,2.75,2.75,3.75
95,"AVI",1,2.67,2.67,2.67,NA,3.4,3.4,NA,NA,2.25,2.5,2.75
95,"Traditional",0,3.56,4.56,4.06,4.4,4.6,NA,NA,4.5,4.5,4.25,4.5
96,"AVI",1,3.44,2.67,3.05,2.6,3.2,5,3.6,4.5,4.25,4.5,3.5
96,"Traditional",0,4,5,4.5,4.2,5,4.8,4.67,4.25,4.25,4,2.75
97,"AVI",1,3.11,2.89,3,3.6,4,3.8,3.8,4,3.75,2.75,4
97,"Traditional",0,3.67,4.11,3.89,4.2,4.8,4.6,4.53,3.75,3.5,3.75,2.75
98,"AVI",1,3.11,2.44,2.78,2.6,2.8,2.4,2.6,2.75,2.25,2,3
98,"Traditional",0,3.89,4.67,4.28,3.6,4.4,4.2,4.07,4,4,3.75,2.75
99,"AVI",1,2.67,2,2.34,3,3,3.2,3.07,3.25,2.75,2,2.25
99,"Traditional",0,3.78,4.11,3.95,3.4,4.2,4,3.87,4.25,4,4.25,3.5
100,"AVI",1,3,2.78,2.89,3.6,4.2,2.8,3.53,4.5,3.25,2.25,3.5
100,"Traditional",0,3.44,4.44,3.94,4.2,4.4,4.8,4.47,3,4.25,3.5,2.75
101,"AVI",1,3.78,2.44,3.11,3.2,1.8,2.6,2.53,2.75,2.75,2.5,2.25
101,"Traditional",0,3.78,4.67,4.22,3.8,4.2,4,4,3.5,3.5,3.75,3.25
102,"AVI",1,4.33,2.33,3.33,3.6,4,3.8,3.8,4.25,3.25,1.75,5
102,"Traditional",0,3.78,4.44,4.11,3.8,4.6,4.4,4.27,4,3.25,3.25,4
103,"AVI",1,3.22,2.67,2.95,3.6,3,3.2,3.27,1.75,1.75,2,4
